site,seed_wt
near,0.0042
near,0.004
near,0.0041
near,0.004
near,0.0043
near,0.0042
near,0.0041
near,0.0043
near,0.004
near,0.0044
near,0.0044
near,0.0042
near,0.0041
near,0.0046
near,0.0041
near,0.0041
near,0.005
near,0.0046
near,0.0041
near,0.0043
near,0.0039
near,0.0038
near,0.0033
near,0.0023
near,0.0034
near,0.0034
near,0.0039
near,0.0031
near,0.0035
near,0.0023
near,0.0037
near,0.0029
near,0.0037
near,0.0036
near,0.0039
near,0.0033
near,0.0038
near,0.0034
near,0.0036
near,0.0036
near,0.0036
near,0.0035
near,0.0034
near,0.0036
near,0.0035
near,0.0027
near,0.0032
near,0.0023
near,0.0037
near,0.0025
near,0.0031
near,0.0039
near,0.0034
near,0.0036
near,0.0024
near,0.0037
near,0.0022
near,0.0032
near,0.0036
near,0.0027
near,0.0038
near,0.0039
near,0.0036
near,0.0035
near,0.0037
near,0.0035
near,0.0032
near,0.0033
near,0.0027
near,0.0035
near,0.0039
near,0.0039
near,0.0034
near,0.0031
near,0.0038
near,0.0022
near,0.0038
near,0.0034
near,0.0021
near,0.0029
near,0.0036
near,0.0026
near,0.0025
near,0.0024
near,0.0035
near,0.0037
near,0.0024
near,0.0029
near,0.0028
near,0.0037
near,0.0023
near,0.0028
near,0.003
near,0.0029
near,0.0026
near,0.0032
near,0.0032
near,0.0039
near,0.0036
near,0.0037
near,0.0029
near,0.0029
near,0.0039
near,0.0034
near,0.0029
near,0.0018
near,0.0015
near,0.0005
near,0.0008
near,0.0013
near,0.0018
near,0.0017
near,0.0018
near,0.0016
near,0.0015
near,0.0008
near,0.0011
near,0.0018
near,0.0013
near,0.002
near,0.0014
near,0.0018
near,0.0016
near,0.0005
near,0.0016
near,0.0013
near,0.0013
near,0.0017
near,0.0018
near,0.0015
near,0.0019
near,0.0016
near,0.0013
near,0.0018
near,0.0019
wolverine,0.0022
wolverine,0.0031
wolverine,0.0026
wolverine,0.0024
wolverine,0.0025
wolverine,0.0025
wolverine,0.0025
wolverine,0.0024
wolverine,0.0024
wolverine,0.0024
wolverine,0.0022
wolverine,0.0025
wolverine,0.0024
wolverine,0.0022
wolverine,0.0022
wolverine,0.0022
wolverine,0.0021
wolverine,0.0022
wolverine,0.0023
wolverine,0.0024
wolverine,0.0022
wolverine,0.0026
wolverine,0.0027
wolverine,0.0027
wolverine,0.0026
wolverine,0.0023
wolverine,0.0029
wolverine,0.0028
wolverine,0.0025
wolverine,0.0016
wolverine,0.0013
wolverine,0.0009
wolverine,0.0005
wolverine,0.0017
wolverine,0.0004
wolverine,0.0015
wolverine,0.0015
wolverine,0.001
wolverine,0.002
wolverine,0.002
wolverine,0.0007
wolverine,0.002
wolverine,0.0016
wolverine,0.002
wolverine,0.0017
wolverine,0.0019
wolverine,0.0012
wolverine,0.002
