Site,Nconc
DNP,3.37
DNP,3.296848118
DNP,2.91
DNP,3.29
DNP,3.12
DNP,3.09825
DNP,2.76
DNP,2.97
DNP,2.67
DNP,2.607859882
DNP,1.985860148
DNP,2.315
DNP,2.126
DNP,3.159
DNP,2.479
DNP,2.914520312
DNP,1.4243897
DNP,2.222816352
DNP,1.711
DNP,2.456
DNP,2.562186206
DNP,2.0984
DNP,2.1173
DNP,2.1578
DNP,1.707721761
DNP,1.945
DNP,2.602
DNP,2.072
DNP,1.511173747
DNP,2.188922677
DNP,2.119075002
DNP,1.818
DNP,1.4224
DNP,1.7074
DNP,1.8976
NSA,2.75
NSA,2.79
NSA,2.34
NSA,2.54175
NSA,2.39
NSA,2.66
NSA,3.31
NSA,3.58
NSA,2.53
NSA,2.51
NSA,2.74
NSA,2.21
NSA,2.96
NSA,3.168051705
NSA,2.76
NSA,1.6999
NSA,1.6602
NSA,1.7269
NSA,1.6544
NSA,1.8183
NSA,1.7509
NSA,2.368940006
NSA,2.888277339
NSA,2.581842916
NSA,1.998683594
NSA,1.977
NSA,1.673
NSA,1.777
NSA,1.918031774
NSA,1.716
NSA,1.982526348
NSA,1.7509
NSA,2.101
NSA,0.931
NSA,0.928
NSA,1.078
NSA,1.275092086
NSA,1.527618113
NSA,1.087
NSA,0.966707605
NSA,0.999056338
NSA,1.3
NSA,1.050425306
NSA,1.194
NSA,1.144
NSA,1.301
NSA,2.052812754
NSA,1.938
NSA,1.532
